,reviewerID,asin,reviewText,Category,unixReviewTime,overall,sentiment,Clean_Reviews,textblob_polarity,textblob_sentiment,afin_polarity,afin_sentiment,vader_sentiment
10,A36UACIX4M8IVQ,B001GXRQW0,GREAT when they are giving to you as a gift,Giftcard,2016-11-24,5,positive,great giving gift,0.8,positive,5.0,positive,positive
11,A5FEAOLPMWJQB,B001GXRQW0,i like it is good,Giftcard,2016-11-19,5,positive,good,0.7,positive,3.0,positive,positive
12,A14XDZ9HB51T1H,B001GXRQW0,very good,Giftcard,2016-09-22,4,positive,good,0.7,positive,3.0,positive,positive
13,A2UZS69NXZ1WW7,B001GXRQW0,Gift cards are always helpful!,Giftcard,2016-09-11,5,positive,gift cards always helpful,0.0,negative,4.0,positive,positive
14,A2AB6HL83JZ1BO,B001GXRQW0,It is a gift card.  Nothing more to say.,Giftcard,2016-08-30,4,positive,gift card nothing say,0.0,negative,2.0,positive,positive
15,A21WZ65DFKQ5N8,B001GXRQW0,Can't go wrong!,Giftcard,2016-08-15,5,positive,cant go wrong,-0.5,negative,-2.0,negative,negative
16,A1VN7BM6Y5TQJA,B001GXRQW0,Excellent!,Giftcard,2016-05-24,5,positive,excellent,1.0,positive,3.0,positive,positive
17,AHWCK6XEI8511,B001GXRQW0,"All you're products are perfect, Saves a day out in the heat or cold. I am disabled and don't drive . Amazonis perfect for people  like me. Thanks Ms Nelson.",Giftcard,2016-05-18,5,positive,youre products perfect saves day heat cold disabled dont drive amazonis perfect people thanks ms nelson,0.27999999999999997,positive,8.0,positive,positive
18,A2CKVUNA97MJOU,B001GXRQW0,I got a $50 gift card as a gift from someone else. When I opened the card from the cardboard holder I discovered that the claim code was not fully readable. After contacting customer service they stated that the gift card was already used! ...how can a gift card in it packaging be used?!? My claim was escalated to someone else. Their customer service has been horrible and I'm waiting to hear what they will find. I didn't get an email that they had gotten my email until the next day and the representative in the phone was not very friendly.,Giftcard,2016-05-01,1,negative,got gift card gift someone else opened card cardboard holder discovered claim code not fully readable contacting customer service stated gift card already gift card packaging claim escalated someone else customer service horrible im waiting hear find didnt get email gotten email next day representative phone not friendly,-0.3958333333333333,negative,7.0,positive,positive
19,A7I9KD0PJAEAX,B001GXRQW0,What a great time I had online spending my Amazon Gift Card!  Here's a pic of an anklet bracelet; just one of many items I was able to purchase because of Amazon's low prices and legendary service.,Giftcard,2016-03-25,5,positive,great time online spending gift card heres pic anklet bracelet one many items able purchase amazons low prices legendary service,0.5599999999999999,positive,5.0,positive,positive
20,A3IM4GR31WDTNQ,B001GXRQW0,Thanks,Giftcard,2016-03-08,5,positive,thanks,0.2,positive,2.0,positive,positive
21,A1DJZLZCOAOKSE,B001GXRQW0,Great,Giftcard,2016-03-08,5,positive,great,0.8,positive,3.0,positive,positive
22,A26XZ08B9ZR928,B001GXRQW0,Good item good price and fast shipping+++++,Giftcard,2016-03-05,5,positive,good item good price fast shipping,0.5333333333333333,positive,6.0,positive,positive
23,A2Z5O6A5MGU9PP,B001GXRQW0,It's a gift card - what's to like/dislike?,Giftcard,2016-03-01,3,positive,gift card whats likedislike,0.0,negative,2.0,positive,positive
24,APLP5ILU9S54Z,B001GXRQW0,good gift idea,Giftcard,2016-02-25,5,positive,good gift idea,0.7,positive,5.0,positive,positive
25,A19IK2NWEK19XY,B001GXRQW0,:-),Giftcard,2016-02-16,5,positive,,0.0,negative,0.0,negative,negative
26,AHOHJT0V4M5IN,B001GXRQW0,its a gift card,Giftcard,2016-01-27,5,positive,gift card,0.0,negative,2.0,positive,positive
27,A9LJU70TTN2KJ,B001GXRQW0,"I purchased six $50 Amazon Gift Cards from a local supermarket (Bi Lo) to give as Christmas Gifts in 2015 (something I've done for many years). My Sister-in-law, the recipient of one of those $50 Amazon Gift Cards called me to say that she's lost the Gift Card (most likely accidentally discarded with all of the Christmas paper, etc. and burned in the trash). I told her ""no problem"", since I had kept my receipt from Bi Lo that includes the Amazon Gift Card Number, and I felt certain that Amazon would be able to see that no purchases had been made against their Gift Card Number and that either Amazon or Bi Lo would be able to cancel that card and issue a new one, or Credit her online Amazon Account $50 and bypass issuing a new physical card altogether. I was sadly mistaken.... when she initially contacted Amazon, they told her that since the Amazon Card was purchased from Bi Lo, we would need to take the matter up with them. I went to Bi Lo and was told that there wasn't anything that they could do and that I would need to contact Amazon. Since my Sister-in-law had already contacted Amazon and been turned away, I decided since I was the one who made the purchase and had the receipt, I would call my Credit Card Company first to see if they might be able to offer some assistance in getting the matter resolved since I had purchased all of the Gift Cards with my Credit Card. After 30 minutes discussing the details with my Credit Card Company, they said they understood my dilemma but weren't able to dispute the charge with Bi Lo. They suggested I contact Amazon directly since I had my receipt with Amazon's Gift Card number on and since it was Amazon's gift card. So... after about 30 minutes on the phone with a very nice gentleman from Amazon who made 2 attempts to get his Supervisor to approve some type of credit for the loss, he sadly informed me that Amazon isn't responsible for purchases of their Gift Cards that aren't made from their website. I told him that since Amazon isn't willing to offer any assistance, even though they can clearly see in their system a $50 unused Credit on that lost Gift Card and since I had my receipt with their Gift Card number printed on the receipt (proof that I had purchased their Gift Card), I felt as though Amazon had ROBBED me of $50, since the only one who will benefit financially from this gift transaction is Amazon and I had certainly not intended to add ""Amazon"" as one of my 2015 Christmas names to buy for! Furthermore, I told him that I would not be making any more purchases from Amazon directly or purchasing any other Amazon Gift Cards in the future and would encourage others to do the same. I try not to support businesses that engage in thievery, and that is exactly how I feel I was treated in this instance.",Giftcard,2016-01-25,1,negative,purchased six gift cards local supermarket bi lo give christmas gifts something ive done many years sisterinlaw recipient one gift cards called say shes lost gift card likely accidentally discarded christmas paper etc burned trash told no problem since kept receipt bi lo includes gift card number felt certain would able see no purchases made gift card number either bi lo would able cancel card issue new one credit online account bypass issuing new physical card altogether sadly mistaken initially contacted told since card purchased bi lo would need take matter went bi lo told wasnt anything could would need contact since sisterinlaw already contacted turned away decided since one made purchase receipt would call credit card company first see might able offer assistance getting matter resolved since purchased gift cards credit card minutes discussing details credit card company said understood dilemma but werent able dispute charge bi lo suggested contact directly since receipt amazons gift card number since amazons gift card minutes phone nice gentleman made attempts get supervisor approve type credit loss sadly informed isnt responsible purchases gift cards arent made website told since isnt willing offer assistance even though clearly see system unused credit lost gift card since receipt gift card number printed receipt proof purchased gift card felt though robbed since one benefit financially gift transaction certainly not intended add one christmas names furthermore told would not making purchases directly purchasing gift cards future would encourage others try not support businesses engage thievery exactly feel treated instance,0.1491948051948052,positive,20.0,positive,positive
28,A3LTNSW3TO1PQQ,B001GXRQW0,Thanks,Giftcard,2016-01-22,5,positive,thanks,0.2,positive,2.0,positive,positive
29,A3161VY5L31M64,B001GXRQW0,I had absolutely no problems redeeming my gift card. Excellent and easy!,Giftcard,2016-01-17,5,positive,absolutely no problems redeeming gift card excellent easy,0.4583333333333333,positive,3.0,positive,positive
30,AD9YJDGTQXRD6,B001GXRQW0,"Amazing site one of the best , amazon never fails",Giftcard,2015-12-28,5,positive,amazing site one best never fails,0.6166666666666667,positive,5.0,positive,positive
31,A2WI6B6G3UERAO,B001GXRQW0,"Cant beat a gift card, and they can email the gift rather than ship it!",Giftcard,2015-12-14,5,positive,cant beat gift card email gift rather ship,0.0,negative,4.0,positive,negative
32,A1HYHICAF11MS8,B001GXRQW0,Bought some great books for my Kindle and other items.,Giftcard,2015-12-12,5,positive,bought great books kindle items,0.8,positive,3.0,positive,positive
33,AKWSLY600JIAB,B001GXRQW0,"Amazon gift cards are the biggest fraud I have ever seen! My husband was issued a $50 gift card from his work over a year ago and had been waiting to use it on something he or I needed. With Christmas just around the corner he and I thought it would be a great idea to use the gift card to buy gifts with. My husband spent $24 dollars and change leaving me a balance of $25 dollars to use if I wanted to buy something. I thought hey this is perfect! I can buy my nephew the movie he asked for and a few other small items for stockings and not break the bank.

Well of course life doesn't work out the way it is supposed to. Because my husband and I each have our own Amazon accounts, created before we were married, and maintained for buying the surprise birthday, Christmas, or anniversary gift. And here is where the CATCH comes in... Any purchases or that were made on an Amazon gift card, or if a gift card was even just registered under a particular individual/account can not be used or shared by someone else. The powers that be at Amazon consider that transferring. This includes any minor children that may have an account not just your spouse. Which means...I would have to spend personal money out of pocket if I wanted to still buy these items off Amazon, instead of using a perfectly good gift card that would have covered the balance. Or the other option which was never suggested was log into my husbands account not look at what he bought me in his previous purchase section and buy what I wanted for my nephew and kids on my husbands account only after I ask him for his password (which he would have given me.)

Don't bother taking into account that minors can not own items so to restrict the transfer of property (from parent to child) is illegal and minors can not be bound to such agreements ...and I myself live in a joint property state so at the end of the day what is my husbands is mine and mine is his.",Giftcard,2015-12-02,1,negative,gift cards biggest fraud ever seen husband issued gift card work year ago waiting something needed christmas around corner thought would great idea gift card gifts husband spent dollars change leaving balance dollars wanted something thought hey perfect nephew movie asked small items stockings not break bank well course life doesnt work way supposed husband accounts created married maintained buying surprise birthday christmas anniversary gift catch comes purchases made gift card gift card even registered particular individualaccount not shared someone else powers consider transferring includes minor children may account not spouse meansi would spend personal money pocket wanted still items instead using perfectly good gift card would covered balance option never suggested log husbands account not look bought previous purchase section wanted nephew kids husbands account ask password would given dont bother taking account minors not items restrict transfer property parent child illegal minors not bound agreements live joint property state end day husbands mine mine,0.16553030303030303,positive,16.0,positive,positive
34,A3U35DPR8E8BKK,B001GXRQW0,Always good deals on Amazon,Giftcard,2015-10-21,5,positive,always good deals,0.7,positive,3.0,positive,positive
35,A3VJLF0XUD3FJY,B001GXRQW0,daughter was surprised,Giftcard,2015-10-19,5,positive,daughter surprised,0.1,positive,0.0,negative,negative
36,AG3M1MCHLKQVZ,B001GXRQW0,"Always nice to have, very easy to use.",Giftcard,2015-09-07,5,positive,always nice easy,0.5166666666666666,positive,4.0,positive,positive
37,A1FQ1INL2BQ4HQ,B001GXRQW0,great,Giftcard,2015-07-21,5,positive,great,0.8,positive,3.0,positive,positive
38,A115ZT60YYUH8Y,B001GXRQW0,"I received 3 $10 gift cards for my birthday, and they are horrible. You can't fully scratch off the card to get the claim code and when you do, you can't read it. I've tried and tried to enter the codes to buy some books with my cards. Invalid entry. They're useless. Don't get the cards.",Giftcard,2015-07-17,1,negative,received gift cards birthday horrible cant fully scratch card get claim code cant read ive tried tried enter codes books cards invalid entry theyre useless dont get cards,-0.75,negative,-3.0,negative,negative
39,A39Z3MCK424YW8,B001GXRQW0,$25 for a $25 Amazon Gift card. Great for gifts and great for holiday presents when you don't know what exactly to get them. What more can I say? It arrives fast and free and comes in a nice packaging so no wrapping is necessary. All you need to do really is to write the person a note or letter for the occasion. Great!,Giftcard,2015-07-06,5,positive,gift card great gifts great holiday presents dont know exactly get say arrives fast free comes nice packaging no wrapping necessary need really write person note letter occasion great,0.45000000000000007,positive,14.0,positive,positive
40,AG63XF3WPZIQU,B001GXRQW0,Great for a gift,Giftcard,2015-06-27,5,positive,great gift,0.8,positive,5.0,positive,positive
41,AQNYUF2AOVKJL,B001GXRQW0,I gave this card as a gift. Of course they loved it !!!,Giftcard,2015-06-19,5,positive,gave card gift course loved,0.7,positive,5.0,positive,positive
42,A152THA0O0RFUB,B001GXRQW0,Perfect.,Giftcard,2015-06-16,5,positive,perfect,1.0,positive,3.0,positive,positive
43,A21G4URAAP0EN,B001GXRQW0,It's just a gift card.,Giftcard,2015-06-15,5,positive,gift card,0.0,negative,2.0,positive,positive
44,AJ72NVSICBUPR,B001GXRQW0,always appreciated,Giftcard,2015-06-10,5,positive,always appreciated,0.2,positive,2.0,positive,positive
45,A250PM4F81XL4P,B001GXRQW0,It's just like having  $100. Except I couldn't get Walmart to accept it. Apparently you can only use it on the interweb at Amazon. That would've been nice to know before my purchase. If you are looking at gift card reviews maybe it's time to seek professional help.,Giftcard,2015-06-10,5,positive,except couldnt get walmart accept apparently interweb wouldve nice know purchase looking gift card reviews maybe time seek professional help,0.25,positive,8.0,positive,positive
46,A14W647TSHJT9O,B001GXRQW0,nice gift card for family and friends,Giftcard,2015-06-02,4,positive,nice gift card family friends,0.6,positive,5.0,positive,positive
47,A3P4UL5RX7C0AS,B001GXRQW0,Used as gift for an older teen. He loved it! Used it online to purchase p/c things.,Giftcard,2015-05-26,5,positive,gift older teen loved online purchase pc things,0.28888888888888886,positive,5.0,positive,positive
48,A1KML5FXRK43HZ,B001GXRQW0,Who would not love a gift card from amazon. This was a gift for someone.,Giftcard,2015-05-24,5,positive,would not love gift card gift someone,-0.25,negative,7.0,positive,negative
49,AFEJB8MHYQCXF,B001GXRQW0,As expected,Giftcard,2015-05-10,3,positive,expected,-0.1,negative,0.0,negative,negative
50,AYIWE1FI9619J,B001GXRQW0,an easy way to give and pay,Giftcard,2015-05-07,5,positive,easy way give pay,0.43333333333333335,positive,0.0,negative,negative
51,A303TWTKRY4RRX,B001GXRQW0,"Check out this Amazon Gift Card generator, I've tried it and I found it easy to use. http://www.giftcardclub.org/AMAZON/ Nothing to download and it's totally free ;]",Giftcard,2015-05-01,5,positive,check gift card generator ive tried found easy httpwwwgiftcardcluborgamazon nothing download totally free,0.4166666666666667,positive,4.0,positive,positive
52,A2067Z5GZDRCAE,B001GXRQW0,Great deal!  I buy most everything from Amazon and when I bought this card I received a $20.00 credit on Amazon.,Giftcard,2015-04-29,5,positive,great deal everything bought card received credit,0.8,positive,3.0,positive,positive
53,A2H8KW6KPI9UZ0,B001GXRQW0,alwaysove a gift card,Giftcard,2015-04-19,5,positive,alwaysove gift card,0.0,negative,2.0,positive,positive
54,A22MPNNT1797R7,B001GXRQW0,"I received a $50 Amazon gift card from my employer per an internal contest - yippee!
Could you implement the functionality that Apple has - allow the users devise's camera - in this case my Mac - to take a picture of the gift card code?
This will elevate errors when keying in the number and prove user friendly for customers with visual challengers.
Thank you,",Giftcard,2015-04-18,4,positive,received gift card employer per internal contest yippee could implement functionality apple allow users devises camera case mac take picture gift card code elevate errors keying number prove user friendly customers visual challengers thank,0.125,positive,7.0,positive,positive
55,A21C6D252TX30W,B001GXRQW0,great way to give gifts,Giftcard,2015-04-13,5,positive,great way give gifts,0.8,positive,3.0,positive,positive
56,A1T4NKCXSWD4S0,B001GXRQW0,I love amazon!,Giftcard,2015-04-07,5,positive,love,0.5,positive,3.0,positive,positive
57,A3HP6GUB53AQCT,B001GXRQW0,5 Stars,Giftcard,2015-03-19,5,positive,stars,0.0,negative,0.0,negative,negative
58,A12CA1278ZYVK6,B001GXRQW0,Your staff was exceptional as always. Love dealing with Amazon,Giftcard,2015-03-11,5,positive,staff exceptional always love dealing,0.5833333333333333,positive,3.0,positive,positive
59,A1M9J5T8PRI2H8,B001GXRQW0,VERY GOOD,Giftcard,2015-03-03,5,positive,good,0.7,positive,3.0,positive,positive
60,A3EQOFKDUP7X0U,B001GXRQW0,"Needed it, they had it now I got it",Giftcard,2015-03-02,5,positive,needed got,0.0,negative,0.0,negative,negative
61,A2DNWDHMMBSHWT,B001GXRQW0,perfect gift,Giftcard,2015-02-19,5,positive,perfect gift,1.0,positive,5.0,positive,positive
62,A268T3FFNS7L1M,B001GXRQW0,Perfect gift for anyone.,Giftcard,2015-02-16,5,positive,perfect gift anyone,1.0,positive,5.0,positive,positive
63,A3LRRX8M4T8FY4,B001GXRQW0,How could I not love this?  It was great.,Giftcard,2015-02-16,5,positive,could not love great,0.275,positive,6.0,positive,negative
64,A3V5323CCZ0H1X,B001GXRQW0,Great gift,Giftcard,2015-02-15,5,positive,great gift,0.8,positive,5.0,positive,positive
65,A12LR41YL4O612,B001GXRQW0,Nothing to Review it is a Gift card if you don't want a gift card don't buy it if you do then buy it < Simple as that,Giftcard,2015-02-14,5,positive,nothing review gift card dont want gift card dont simple,0.0,negative,5.0,positive,negative
66,A3E33LI912BDIA,B001GXRQW0,My son-in-law loves Amazon so it was the perfect gift for him.  Now I think I love Amazon just as much as he does!!!!,Giftcard,2015-02-12,5,positive,soninlaw loves perfect gift think love much,0.5666666666666667,positive,11.0,positive,positive
67,A26VF09EPY0BVU,B001GXRQW0,always nice,Giftcard,2015-02-11,5,positive,always nice,0.6,positive,3.0,positive,positive
68,A60OE0W86EX8U,B001GXRQW0,Easy way to give,Giftcard,2015-02-04,5,positive,easy way give,0.43333333333333335,positive,1.0,positive,positive
69,AOKGFE8B8BXQI,B001GXRQW0,"Love amazon gift card, it is so convenient..",Giftcard,2015-01-31,5,positive,love gift card convenient,0.5,positive,5.0,positive,positive
70,A31QA047MJ7RSW,B001GXRQW0,Always the perfect gift.,Giftcard,2015-01-20,5,positive,always perfect gift,1.0,positive,5.0,positive,positive
71,A203HTFHJ59CZT,B001GXRQW0,The gifts were well-received.,Giftcard,2015-01-16,5,positive,gifts wellreceived,0.0,negative,0.0,negative,negative
72,A3DVEXXXKJ98KD,B001GXRQW0,GREHlRT. THANK YOU GUYS SO MUCH!!!,Giftcard,2015-01-15,5,positive,grehlrt thank guys much,0.2,positive,2.0,positive,negative
73,A2OZYVA3PI9LGG,B001GXRQW0,perfect,Giftcard,2015-01-07,5,positive,perfect,1.0,positive,3.0,positive,positive
74,A1KQNJD0XY11NA,B001GXRQW0,Its a gift card.,Giftcard,2015-01-06,3,positive,gift card,0.0,negative,2.0,positive,positive
75,A2IP2BKUV113R3,B001GXRQW0,Always needed,Giftcard,2015-01-02,5,positive,always needed,0.0,negative,0.0,negative,negative
76,A1QUHQQY3QCSMJ,B001GXRQW0,I don't remember ever getting one.,Giftcard,2014-12-31,2,negative,dont remember ever getting one,0.0,negative,0.0,negative,negative
77,A38VPIP6WNCLCP,B001GXRQW0,great,Giftcard,2014-12-31,5,positive,great,0.8,positive,3.0,positive,positive
78,A1KIB7QIUTAN7P,B001GXRQW0,"Was a gift, the recipient said it was easy to add to their account.",Giftcard,2014-12-24,5,positive,gift recipient said easy add account,0.43333333333333335,positive,3.0,positive,positive
79,A42A6G4EF3ZOS,B001GXRQW0,came in one day,Giftcard,2014-12-10,5,positive,came one day,0.0,negative,0.0,negative,negative
80,A1UTSN0B2JCVX1,B001GXRQW0,Did not get the card  called a few times but did not get a response,Giftcard,2014-12-01,1,negative,not get card called times but not get response,0.0,negative,0.0,negative,negative
81,ARRDML30E2VKW,B001GXRQW0,These are always great gifts.,Giftcard,2014-11-30,5,positive,always great gifts,0.8,positive,3.0,positive,positive
82,A3UNKBWZ6YXTKB,B001GXRQW0,"Easy to purchase for gift giving.
Recipients have uniformly been pleased.
It takes the guess work out of remembering special occasions.
I will continue to buy these.",Giftcard,2014-11-30,5,positive,easy purchase gift giving recipients uniformly pleased takes guess work remembering special occasions continue,0.4301587301587302,positive,6.0,positive,positive
83,A1AKU3ZAASCESE,B001GXRQW0,gift,Giftcard,2014-11-29,5,positive,gift,0.0,negative,2.0,positive,positive
84,A2ZSIBQMHO91GR,B001GXRQW0,This is one of the best gifts to giive someone who doesn't know what to give someone for an occasion.  I've gootten them in the past; and love them.  TRY IT!  Whomever you gift this to will really be happy.  PUT A SMILE ON SOMEONE'S FACE!,Giftcard,2014-11-13,5,positive,one best gifts giive someone doesnt know give someone occasion ive gootten past love try whomever gift really happy put smile someones face,0.4699999999999999,positive,13.0,positive,positive
85,A1EZAGV9Z0S4HE,B001GXRQW0,Worth $25!!!!,Giftcard,2014-11-13,5,positive,worth,0.3,positive,2.0,positive,negative
86,A8YXKFXPLQKZW,B001GXRQW0,"excellent price, prodict and service",Giftcard,2014-11-04,5,positive,excellent price prodict service,1.0,positive,3.0,positive,positive
87,APYNPOOY97MZH,B001GXRQW0,Is like cash,Giftcard,2014-10-31,5,positive,cash,0.0,negative,0.0,negative,negative
88,A3SOQFJ2X6T0V4,B001GXRQW0,Very cheap looking clued on back ripped picked off I will never buy a another one I bought as Christmas gift ashamed to give it  Mary Workmman,Giftcard,2014-10-29,1,negative,cheap looking clued back ripped picked never another one bought christmas gift ashamed give mary workmman,0.2,positive,0.0,negative,negative
89,A3HKSDHPX6Z1XS,B001GXRQW0,Perfect!,Giftcard,2014-10-28,5,positive,perfect,1.0,positive,3.0,positive,positive
90,A1BQECZGYVHDM8,B001GXRQW0,"Really, who doesn't like a gift card that you can spend on what you want.",Giftcard,2014-10-21,5,positive,really doesnt gift card spend want,0.2,positive,3.0,positive,negative
91,A13NOWV0DZV42G,B001GXRQW0,super convenient!,Giftcard,2014-10-18,5,positive,super convenient,0.3333333333333333,positive,3.0,positive,positive
92,A1YPCLIWL4HUZD,B001GXRQW0,useful,Giftcard,2014-10-13,5,positive,useful,0.3,positive,2.0,positive,positive
93,A26OUPI3I09NDZ,B001GXRQW0,"My Bad?  Have been trying to mail two, $100 gift cards to two different states. One to the father and the other to his son,
BUT they have the same birthday calendar date!!.

The first card was successfully received  but your program can't get it through its Corporate head that I would like the second card to go to a different email address to a different person..

I don't want to be billed for the second to be incorrectly recognized.  Maybe I should just put a USPS stamp on a personal check and send it???  At best I do not want to be billed for the number 2 effort until it is delivered ...if ever.",Giftcard,2014-10-08,1,negative,bad trying mail two gift cards two different states one father son but birthday calendar date first card successfully received but program cant get corporate head would second card go different email address different person dont want billed second incorrectly recognized maybe put usps stamp personal check send best not want billed number effort delivered ever,0.11818181818181821,positive,7.0,positive,positive
94,A2XDN4ADMJDDD,B001GXRQW0,Can't go wrong with this as a gift,Giftcard,2014-10-04,5,positive,cant go wrong gift,-0.5,negative,0.0,negative,negative
95,A1HUBKYXDJV5HV,B001GXRQW0,Perfect when I'm stuck for a gift idea.,Giftcard,2014-09-27,5,positive,perfect im stuck gift idea,1.0,positive,3.0,positive,positive
96,A1H4KTFILVW9QT,B001GXRQW0,Exelente,Giftcard,2014-09-22,5,positive,exelente,0.0,negative,0.0,negative,negative
97,A25SEKPLSSS6RM,B001GXRQW0,"What can you say?  Great easy way to give a gift. I love receiving them and love giving them. They ship right to the recipient, and they can get whatever they want!",Giftcard,2014-09-20,5,positive,say great easy way give gift love receiving love giving ship right recipient get whatever want,0.5038095238095238,positive,13.0,positive,positive
98,A1MY7RUR07VWSB,B001GXRQW0,10% off,Giftcard,2014-09-19,5,positive,,0.0,negative,0.0,negative,negative
99,A2RQGHLVTDO4FL,B001GXRQW0,"Hello:
A nice way of dealing with gifts, good delivery.
John",Giftcard,2014-09-17,5,positive,hello nice way dealing gifts good delivery john,0.6499999999999999,positive,6.0,positive,positive
100,A3PBE0V3HEFPQ2,B001GXRQW0,Everyone loves a gift card!,Giftcard,2014-09-14,5,positive,everyone loves gift card,0.0,negative,5.0,positive,positive
